word,fruit
watch,0
goat,0
laptop,0
oven,0
cloud,0
hand,0
chair,0
fly,0
wall,0
trousers,0
garden,0
bed,0
pen,0
ray,0
parcel,0
tree,0
clock,0
tangerine,1
peach,1
strawberry,1
watermelon,1
plum,1
pomegranate,1
mango,1
pear,1
