word,fruit
grapefruit,1
frame,0
sausage,0
dog,0
shirt,0
car,0
dragonfruit,1
rice,0
clip,0
church,0
chicken,0
frame,0
peach,1
woman,0
hair,0
gun,0
pear,1
watermelon,1
bicycle,0
pineapple,1
raspberry,1
circle,0
avocado,1
toast,0
raspberry,1
grape,1
cherry,1
table,0
lipstick,0
apricot,1
cup,0
lemon,1
foot,0
nectarine,1
blueberry,1
girl,0
glove,0
strawberry,1
hotel,0
watch,0
goat,0
hand,0
ray,0
parcel,0
chair,0
bed,0
pen,0
tree,0
laptop,0
oven,0
fly,0
wall,0
trousers,0
garden,0
cloud,0
clock,0
girl,0
boy,0
