word,fruit
dog,0
rice,0
frame,0
peach,1
woman,0
hair,0
gun,0
pear,1
watermelon,1
bicycle,0
apricot,1
pineapple,1
raspberry,1
circle,0
avocado,1
toast,0
raspberry,1
table,0
hammer,0
cup,0
lemon,1
foot,0
horse,0
car,0
mango,1
nectarine,1
blueberry,1
girl,0
glove,0
strawberry,1
hotel,0
orange,1
frame,0
sausage,0
clip,0
church,0
chicken,0
pomegranate,1
peach,1
trousers,0
garden,0
cloud,0
cat,0
girl,0
bed,0
pen,0
watch,0
goat,0
hand,0
ray,0
mouse,0
chair,0
fly,0
wall,0
tree,0
enveloppe,0
oven,0
lion,0
